titulo,link,banca,orgao,cargo,ano,nivel,data_aplicacao,num_questoes,link_prova_pdf,link_gabarito_pdf,data_coleta
FCC - 2024 - TRT - 6ª Região (PE) - Técnico Judiciário - Administrativo,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fcc-2024-trt-6a-regiao-pe-tecnico-judiciario-administrativo,FCC,TRT,6ª Região (PE) - Técnico Judiciário - Administrativo,2024,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fcc-2024-trt-6a-regiao-pe-tecnico-judiciario-administrativo,,,,,,,0,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49373.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49373.pdf,2026-02-03 07:41:12
Cebraspe (Cespe) - 2025 - ICMBIO - Analista Administrativo - básica,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cebraspe-cespe-2025-icmbio-analista-administrativo-basica,Cebraspe (Cespe),ICMBIO,Analista Administrativo - básica,2025,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cebraspe-cespe-2025-icmbio-analista-administrativo-basica,,,,,,,50,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49335.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49335.pdf,2026-02-03 07:41:12
50 Questões,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cebraspe-cespe-2025-icmbio-analista-administrativo-basica#questoes,,,,,,,50,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49335.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49335.pdf,2026-02-03 07:41:12
Cebraspe (Cespe) - 2025 - SEFAZ-RJ - Auditor,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cebraspe-cespe-2025-sefaz-rj-auditor,Cebraspe (Cespe),SEFAZ-RJ,Auditor,2025,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cebraspe-cespe-2025-sefaz-rj-auditor,,,,,,,200,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49366.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49366.pdf,2026-02-03 07:41:12
200 Questões,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cebraspe-cespe-2025-sefaz-rj-auditor#questoes,,,,,,,200,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49366.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49366.pdf,2026-02-03 07:41:12
17 Questões com vídeo,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cebraspe-cespe-2025-sefaz-rj-auditor#questoes,,,,,,,200,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49366.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49366.pdf,2026-02-03 07:41:12
CESGRANRIO - 2025 - BANESE - Técnico Bancário - D,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cesgranrio-2025-banese-tecnico-bancario-d,CESGRANRIO,BANESE,Técnico Bancário - D,2025,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cesgranrio-2025-banese-tecnico-bancario-d,,,,,,,80,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49392.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49392.pdf,2026-02-03 07:41:12
80 Questões,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cesgranrio-2025-banese-tecnico-bancario-d#questoes,,,,,,,80,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49392.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49392.pdf,2026-02-03 07:41:12
4 Questões com vídeo,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/cesgranrio-2025-banese-tecnico-bancario-d#questoes,,,,,,,80,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49392.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49392.pdf,2026-02-03 07:41:12
UECE - CEV - 2025 - PM-CE - Soldado da Polícia Militar,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/uece-cev-2025-pm-ce-soldado-da-policia-militar,UECE,2025,PM-CE - Soldado da Polícia Militar,CEV,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/uece-cev-2025-pm-ce-soldado-da-policia-militar,,,,,,,100,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49424.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49424.pdf,2026-02-03 07:41:12
100 Questões,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/uece-cev-2025-pm-ce-soldado-da-policia-militar#questoes,,,,,,,100,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49424.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49424.pdf,2026-02-03 07:41:12
CONSULPLAN - 2025 - CONAB - Assistente Administrativo,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/consulplan-2025-conab-assistente-administrativo,CONSULPLAN,CONAB,Assistente Administrativo,2025,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/consulplan-2025-conab-assistente-administrativo,,,,,,,100,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49412.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49412.pdf,2026-02-03 07:41:12
100 Questões,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/consulplan-2025-conab-assistente-administrativo#questoes,,,,,,,100,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49412.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49412.pdf,2026-02-03 07:41:12
FGV - 2025 - DPE-RO - Analista em Administração - classe A,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fgv-2025-dpe-ro-analista-em-administracao-classe-a,FGV,DPE-RO,Analista em Administração - classe A,2025,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fgv-2025-dpe-ro-analista-em-administracao-classe-a,,,,,,,66,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49385.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49385.pdf,2026-02-03 07:41:12
66 Questões,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fgv-2025-dpe-ro-analista-em-administracao-classe-a#questoes,,,,,,,66,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49385.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49385.pdf,2026-02-03 07:41:12
23 Questões com vídeo,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fgv-2025-dpe-ro-analista-em-administracao-classe-a#questoes,,,,,,,66,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49385.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49385.pdf,2026-02-03 07:41:12
FUNDATEC - 2025 - CBM-RS - Soldado Bombeiro Militar,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fundatec-2025-cbm-rs-soldado-bombeiro-militar,FUNDATEC,CBM-RS,Soldado Bombeiro Militar,2025,,,0,,,2026-02-03 07:41:12
Informações,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/fundatec-2025-cbm-rs-soldado-bombeiro-militar,,,,,,,80,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/prova/49436.pdf,https://s3.amazonaws.com/files-s3.iesde.com.br/resolucaoq/prova/gabarito/49436.pdf,2026-02-03 07:41:12
